Price,Airline,Departure Date,Departure Time
266.75,FI,2025-07-27,2025-07-27T23:10:00
266.75,FI,2025-07-29,2025-07-29T07:30:00
328.35,FI,2025-07-27,2025-07-27T20:25:00
328.35,FI,2025-07-28,2025-07-28T07:30:00
389.44,UA,2025-07-27,2025-07-27T17:30:00
389.44,UA,2025-07-28,2025-07-28T15:25:00
392.83,UA,2025-07-27,2025-07-27T21:50:00
392.83,UA,2025-07-28,2025-07-28T13:15:00
392.83,UA,2025-07-27,2025-07-27T15:45:00
392.83,UA,2025-07-28,2025-07-28T09:25:00
392.83,UA,2025-07-27,2025-07-27T15:45:00
392.83,UA,2025-07-28,2025-07-28T13:15:00
392.83,UA,2025-07-27,2025-07-27T21:50:00
392.83,UA,2025-07-28,2025-07-28T21:15:00
517.56,AY,2025-07-27,2025-07-27T22:55:00
519.99,AF,2025-07-27,2025-07-27T21:30:00
519.99,AF,2025-07-28,2025-07-28T12:40:00
519.99,AF,2025-07-27,2025-07-27T01:00:00
519.99,AF,2025-07-27,2025-07-27T19:20:00
519.99,AF,2025-07-27,2025-07-27T23:30:00
519.99,AF,2025-07-28,2025-07-28T19:20:00
520.89,AY,2025-07-27,2025-07-27T19:30:00
520.89,AY,2025-07-28,2025-07-28T09:30:00
520.89,AY,2025-07-27,2025-07-27T20:05:00
520.89,AY,2025-07-28,2025-07-28T10:20:00
520.89,AY,2025-07-27,2025-07-27T19:30:00
520.89,AY,2025-07-28,2025-07-28T10:20:00
531.14,AY,2025-07-27,2025-07-27T19:45:00
531.14,AY,2025-07-28,2025-07-28T13:00:00
531.14,AY,2025-07-27,2025-07-27T19:45:00
531.14,AY,2025-07-28,2025-07-28T16:10:00
531.83,AC,2025-07-27,2025-07-27T09:00:00
531.83,AC,2025-07-27,2025-07-27T18:55:00
531.83,AC,2025-07-28,2025-07-28T09:25:00
531.83,AC,2025-07-27,2025-07-27T09:00:00
531.83,AC,2025-07-27,2025-07-27T18:55:00
531.83,AC,2025-07-28,2025-07-28T13:15:00
531.83,AC,2025-07-27,2025-07-27T09:00:00
531.83,AC,2025-07-27,2025-07-27T21:45:00
531.83,AC,2025-07-28,2025-07-28T13:15:00
534.18,AC,2025-07-27,2025-07-27T10:30:00
534.18,AC,2025-07-27,2025-07-27T17:30:00
534.18,AC,2025-07-28,2025-07-28T15:25:00
534.18,AC,2025-07-27,2025-07-27T10:30:00
534.18,AC,2025-07-27,2025-07-27T20:20:00
534.18,AC,2025-07-28,2025-07-28T15:25:00
537.57,AC,2025-07-27,2025-07-27T15:55:00
537.57,AC,2025-07-27,2025-07-27T21:10:00
537.57,AC,2025-07-28,2025-07-28T13:15:00
537.57,AC,2025-07-27,2025-07-27T10:30:00
537.57,AC,2025-07-27,2025-07-27T16:30:00
537.57,AC,2025-07-28,2025-07-28T09:25:00
537.57,AC,2025-07-27,2025-07-27T10:30:00
537.57,AC,2025-07-27,2025-07-27T18:20:00
537.57,AC,2025-07-28,2025-07-28T09:25:00
544.88,LH,2025-07-27,2025-07-27T17:30:00
544.88,LH,2025-07-28,2025-07-28T15:25:00
546.57,KL,2025-07-27,2025-07-27T17:30:00
546.57,KL,2025-07-28,2025-07-28T09:45:00
546.57,KL,2025-07-27,2025-07-27T21:10:00
546.57,KL,2025-07-28,2025-07-28T14:20:00
546.57,KL,2025-07-27,2025-07-27T21:10:00
546.57,KL,2025-07-28,2025-07-28T21:00:00
546.57,AF,2025-07-27,2025-07-27T21:10:00
546.57,AF,2025-07-28,2025-07-28T21:00:00
548.27,LH,2025-07-27,2025-07-27T18:00:00
548.27,LH,2025-07-28,2025-07-28T09:25:00
548.27,LH,2025-07-27,2025-07-27T21:50:00
548.27,LH,2025-07-28,2025-07-28T14:30:00
548.27,LH,2025-07-27,2025-07-27T15:45:00
548.27,LH,2025-07-28,2025-07-28T09:25:00
548.27,LH,2025-07-27,2025-07-27T18:00:00
548.27,LH,2025-07-28,2025-07-28T13:15:00
553.39,TP,2025-07-27,2025-07-27T22:05:00
553.39,TP,2025-07-28,2025-07-28T16:30:00
559.26,IB,2025-07-27,2025-07-27T22:55:00
560.41,LH,2025-07-27,2025-07-27T17:30:00
560.41,LH,2025-07-28,2025-07-28T20:20:00
567.89,AY,2025-07-27,2025-07-27T23:10:00
567.89,AY,2025-07-28,2025-07-28T13:00:00
567.89,AY,2025-07-27,2025-07-27T23:10:00
567.89,AY,2025-07-28,2025-07-28T16:10:00
573.86,IB,2025-07-27,2025-07-27T23:25:00
573.86,IB,2025-07-29,2025-07-29T10:05:00
576.85,IB,2025-07-27,2025-07-27T19:10:00
576.85,AY,2025-07-28,2025-07-28T11:05:00
577.21,OS,2025-07-27,2025-07-27T21:45:00
577.21,OS,2025-07-28,2025-07-28T13:20:00
577.21,OS,2025-07-28,2025-07-28T21:15:00
577.21,OS,2025-07-27,2025-07-27T21:45:00
577.21,OS,2025-07-28,2025-07-28T14:55:00
577.21,OS,2025-07-28,2025-07-28T21:15:00
577.21,OS,2025-07-27,2025-07-27T21:45:00
577.21,OS,2025-07-28,2025-07-28T17:10:00
577.21,OS,2025-07-28,2025-07-28T21:15:00
577.21,OS,2025-07-27,2025-07-27T21:45:00
577.21,OS,2025-07-28,2025-07-28T18:30:00
577.21,OS,2025-07-28,2025-07-28T21:15:00
577.21,OS,2025-07-27,2025-07-27T21:45:00
577.21,OS,2025-07-28,2025-07-28T18:00:00
577.21,OS,2025-07-28,2025-07-28T21:15:00
598.44,AC,2025-07-27,2025-07-27T09:00:00
598.44,AC,2025-07-27,2025-07-27T22:50:00
598.44,AC,2025-07-28,2025-07-28T15:25:00
610.23,AY,2025-07-27,2025-07-27T16:45:00
610.23,AY,2025-07-28,2025-07-28T10:15:00
677.67,6X,2025-07-27,2025-07-27T17:40:00
693.58,6X,2025-07-27,2025-07-27T17:00:00
693.58,6X,2025-07-28,2025-07-28T15:25:00
694.84,6X,2025-07-27,2025-07-27T05:00:00
694.84,6X,2025-07-27,2025-07-27T16:05:00
694.84,6X,2025-07-27,2025-07-27T05:00:00
694.84,6X,2025-07-27,2025-07-27T16:10:00
694.84,6X,2025-07-27,2025-07-27T15:00:00
694.84,6X,2025-07-28,2025-07-28T02:20:00
694.92,6X,2025-07-27,2025-07-27T10:00:00
694.92,6X,2025-07-28,2025-07-28T15:25:00
792.36,TK,2025-07-27,2025-07-27T19:50:00
792.36,TK,2025-07-28,2025-07-28T15:00:00
792.36,TK,2025-07-27,2025-07-27T12:50:00
792.36,TK,2025-07-28,2025-07-28T15:00:00
954.84,6X,2025-07-27,2025-07-27T20:00:00
954.84,6X,2025-07-28,2025-07-28T10:00:00
1026.40,AC,2025-07-27,2025-07-27T15:55:00
1026.40,AC,2025-07-27,2025-07-27T20:20:00
1026.40,AC,2025-07-28,2025-07-28T15:25:00
1144.36,TK,2025-07-27,2025-07-27T12:50:00
1144.36,TK,2025-07-28,2025-07-28T08:00:00
1246.26,UX,2025-07-27,2025-07-27T22:05:00
1246.26,UX,2025-07-28,2025-07-28T13:05:00
1246.26,UX,2025-07-28,2025-07-28T21:00:00
1727.93,IB,2025-07-27,2025-07-27T16:45:00
1727.93,IB,2025-07-28,2025-07-28T10:15:00
2201.72,SK,2025-07-27,2025-07-27T18:55:00
2201.72,SK,2025-07-29,2025-07-29T08:00:00
4117.27,LH,2025-07-27,2025-07-27T21:50:00
4117.27,LX,2025-07-28,2025-07-28T20:00:00
