Route ID,Origin,Destination,Segments,Airlines,Departure Time,Arrival Time,Total Duration,Price,Number of Stops
Route-1,JFK,HEL,JFK → KEF → HEL,FI → FI,2025-07-01T20:25:00,2025-07-02T14:00:00,PT10H35M,208.47,1
Route-2,JFK,HEL,JFK → HEL,AY,2025-07-01T22:55:00,2025-07-02T14:00:00,PT8H5M,540.37,0
Route-3,JFK,HEL,JFK → ORD → HEL,IB → IB,2025-07-01T15:40:00,2025-07-02T14:15:00,PT15H35M,551.93,1
Route-4,JFK,HEL,JFK → FRA → HEL,UA → UA,2025-07-01T15:45:00,2025-07-02T12:50:00,PT14H5M,552.33,1
Route-5,JFK,HEL,JFK → FRA → HEL,UA → UA,2025-07-01T15:45:00,2025-07-02T16:50:00,PT18H5M,552.33,1
Route-6,JFK,HEL,JFK → LIS → HEL,TP → TP,2025-07-01T22:05:00,2025-07-02T23:15:00,PT18H10M,557.23,1
Route-7,JFK,HEL,JFK → LIS → ZRH → HEL,TP → TP → TP,2025-07-01T22:05:00,2025-07-02T22:45:00,PT17H40M,576.90,2
Route-8,JFK,HEL,JFK → LHR → HEL,AY → AY,2025-07-01T23:10:00,2025-07-02T17:50:00,PT11H40M,591.46,1
Route-9,JFK,HEL,JFK → LHR → HEL,AY → AY,2025-07-01T23:10:00,2025-07-02T21:00:00,PT14H50M,591.46,1
Route-10,JFK,HEL,JFK → YUL → MUC → HEL,AC → AC → AC,2025-07-01T09:00:00,2025-07-02T18:55:00,PT26H55M,597.50,2
Route-11,JFK,HEL,JFK → LHR → HEL,AY → AY,2025-07-01T20:05:00,2025-07-02T17:50:00,PT14H45M,601.67,1
Route-12,JFK,HEL,JFK → LHR → HEL,AY → AY,2025-07-01T20:05:00,2025-07-02T21:00:00,PT17H55M,601.67,1
Route-13,JFK,HEL,JFK → YYZ → MUC → HEL,AC → AC → AC,2025-07-01T15:55:00,2025-07-02T18:55:00,PT20H,603.26,2
Route-14,JFK,HEL,JFK → YYZ → MUC → HEL,AC → AC → AC,2025-07-01T10:30:00,2025-07-02T18:55:00,PT25H25M,603.26,2
Route-15,JFK,HEL,JFK → YYZ → MUC → HEL,AC → AC → AC,2025-07-01T10:30:00,2025-07-02T18:55:00,PT25H25M,603.26,2
Route-16,JFK,HEL,JFK → MXP → HEL,IB → AY,2025-07-01T19:10:00,2025-07-02T15:05:00,PT12H55M,604.62,1
Route-17,JFK,HEL,JFK → HEL,IB,2025-07-01T22:55:00,2025-07-02T14:00:00,PT8H5M,611.93,0
Route-18,JFK,HEL,JFK → MUC → HEL,LH → LH,2025-07-01T16:30:00,2025-07-02T11:55:00,PT12H25M,614.06,1
Route-19,JFK,HEL,JFK → MUC → HEL,LH → LH,2025-07-01T16:30:00,2025-07-02T18:55:00,PT19H25M,614.06,1
Route-20,JFK,HEL,JFK → YUL → FRA → HEL,AC → AC → AC,2025-07-01T09:00:00,2025-07-02T12:50:00,PT20H50M,617.33,2
Route-21,JFK,HEL,JFK → YUL → FRA → HEL,AC → AC → AC,2025-07-01T09:00:00,2025-07-02T12:50:00,PT20H50M,617.33,2
Route-22,JFK,HEL,JFK → YYZ → FRA → HEL,AC → AC → AC,2025-07-01T15:55:00,2025-07-02T16:50:00,PT17H55M,623.09,2
Route-23,JFK,HEL,JFK → YYZ → FRA → HEL,AC → AC → AC,2025-07-01T10:30:00,2025-07-02T12:50:00,PT19H20M,623.09,2
Route-24,JFK,HEL,JFK → YYZ → FRA → HEL,AC → AC → AC,2025-07-01T10:30:00,2025-07-02T12:50:00,PT19H20M,623.09,2
Route-25,JFK,HEL,JFK → MAN → HEL,EI → AY,2025-07-01T19:00:00,2025-07-02T14:45:00,PT12H45M,625.83,1
Route-26,JFK,HEL,JFK → CDG → HEL,AF → AF,2025-07-01T21:30:00,2025-07-02T16:40:00,PT12H10M,628.82,1
Route-27,JFK,HEL,JFK → CDG → HEL,AF → AF,2025-07-01T01:00:00,2025-07-01T23:20:00,PT15H20M,628.82,1
Route-28,JFK,HEL,JFK → CDG → HEL,AF → AF,2025-07-01T23:30:00,2025-07-02T23:20:00,PT16H50M,628.82,1
Route-29,JFK,HEL,JFK → FRA → HEL,LH → LH,2025-07-01T18:00:00,2025-07-02T12:50:00,PT11H50M,633.89,1
Route-30,JFK,HEL,JFK → FRA → HEL,LH → LH,2025-07-01T21:50:00,2025-07-02T16:50:00,PT12H,633.89,1
Route-31,JFK,HEL,JFK → FRA → HEL,LH → LH,2025-07-01T15:45:00,2025-07-02T12:50:00,PT14H5M,633.89,1
Route-32,JFK,HEL,JFK → FRA → HEL,LH → LH,2025-07-01T18:00:00,2025-07-02T16:50:00,PT15H50M,633.89,1
Route-33,JFK,HEL,JFK → FRA → HEL,LH → LH,2025-07-01T21:50:00,2025-07-03T00:25:00,PT19H35M,633.89,1
Route-34,JFK,HEL,JFK → LHR → HEL,AY → AY,2025-07-01T19:30:00,2025-07-02T14:20:00,PT11H50M,634.46,1
Route-35,JFK,HEL,JFK → LHR → HEL,AY → AY,2025-07-01T19:30:00,2025-07-02T15:15:00,PT12H45M,634.46,1
Route-36,JFK,HEL,JFK → LHR → HEL,AY → AY,2025-07-01T20:05:00,2025-07-02T15:15:00,PT12H10M,634.46,1
Route-37,JFK,HEL,JFK → BCN → HEL,IB → IB,2025-07-01T23:25:00,2025-07-03T15:10:00,PT32H45M,642.53,1
Route-38,JFK,HEL,JFK → HEL,6X,2025-07-01T17:40:00,2025-07-02T08:50:00,PT8H10M,682.84,0
Route-39,JFK,HEL,JFK → LHR → HEL,6X → 6X,2025-07-01T05:00:00,2025-07-01T19:30:00,PT7H30M,699.93,1
Route-40,JFK,HEL,JFK → LHR → HEL,6X → 6X,2025-07-01T05:00:00,2025-07-01T21:05:00,PT9H5M,699.93,1
Route-41,JFK,HEL,JFK → CDG → HEL,6X → 6X,2025-07-01T10:00:00,2025-07-02T19:20:00,PT26H20M,700.09,1
Route-42,JFK,HEL,JFK → FRA → HEL,UA → UA,2025-07-01T21:50:00,2025-07-02T16:50:00,PT12H,704.33,1
Route-43,JFK,HEL,JFK → AMS → HEL,KL → KL,2025-07-01T18:20:00,2025-07-02T13:05:00,PT11H45M,742.67,1
Route-44,JFK,HEL,JFK → AMS → HEL,KL → KL,2025-07-01T17:30:00,2025-07-02T13:05:00,PT12H35M,742.67,1
Route-45,JFK,HEL,JFK → AMS → HEL,KL → KL,2025-07-01T21:10:00,2025-07-02T17:40:00,PT13H30M,742.67,1
Route-46,JFK,HEL,JFK → AMS → HEL,KL → KL,2025-07-01T00:50:00,2025-07-02T00:20:00,PT16H30M,742.67,1
Route-47,JFK,HEL,JFK → AMS → HEL,KL → KL,2025-07-01T21:10:00,2025-07-03T00:20:00,PT20H10M,742.67,1
Route-48,JFK,HEL,JFK → AMS → HEL,AF → AF,2025-07-01T21:10:00,2025-07-03T00:20:00,PT20H10M,742.67,1
Route-49,JFK,HEL,JFK → IST → HEL,TK → TK,2025-07-01T19:50:00,2025-07-02T18:40:00,PT15H50M,780.08,1
Route-50,JFK,HEL,JFK → IST → HEL,TK → TK,2025-07-01T06:45:00,2025-07-02T11:40:00,PT21H55M,780.08,1
Route-51,JFK,CDG,JFK → CDG,6X,2025-07-01T10:00:00,2025-07-01T20:00:00,PT4H,54.84,0
Route-52,JFK,CDG,JFK → LHR → CDG,6X → 6X,2025-07-01T20:00:00,2025-07-02T11:30:00,PT9H30M,121.93,1
Route-53,JFK,CDG,JFK → LHR → CDG,6X → 6X,2025-07-01T05:00:00,2025-07-01T20:40:00,PT9H40M,121.93,1
Route-54,JFK,CDG,JFK → LHR → CDG,6X → 6X,2025-07-01T15:00:00,2025-07-02T08:25:00,PT11H25M,121.93,1
Route-55,JFK,CDG,JFK → LHR → CDG,6X → 6X,2025-07-01T20:00:00,2025-07-02T14:25:00,PT12H25M,121.93,1
Route-56,JFK,CDG,JFK → LHR → CDG,6X → 6X,2025-07-01T11:00:00,2025-07-02T08:25:00,PT15H25M,121.93,1
Route-57,JFK,CDG,JFK → KEF → CDG,FI → FI,2025-07-01T20:25:00,2025-07-02T13:00:00,PT10H35M,225.47,1
Route-58,JFK,CDG,JFK → KEF → CDG,FI → FI,2025-07-01T20:25:00,2025-07-02T15:55:00,PT13H30M,225.47,1
Route-59,JFK,CDG,JFK → CDG,A1,2025-07-01T00:30:00,2025-07-01T13:35:00,PT7H5M,231.99,0
Route-60,JFK,CDG,JFK → YUL → CDG,UA → UA,2025-07-01T09:00:00,2025-07-02T06:50:00,PT15H50M,435.36,1
Route-61,JFK,CDG,JFK → YUL → CDG,UA → UA,2025-07-01T09:00:00,2025-07-02T10:20:00,PT19H20M,435.36,1
Route-62,JFK,CDG,JFK → YUL → CDG,AC → AC,2025-07-01T09:00:00,2025-07-02T06:50:00,PT15H50M,435.36,1
Route-63,JFK,CDG,JFK → YUL → CDG,AC → AC,2025-07-01T09:00:00,2025-07-02T10:20:00,PT19H20M,435.36,1
Route-64,JFK,CDG,JFK → YYZ → CDG,AC → AC,2025-07-01T15:55:00,2025-07-02T10:10:00,PT12H15M,441.12,1
Route-65,JFK,CDG,JFK → YYZ → CDG,AC → AC,2025-07-01T10:30:00,2025-07-02T10:10:00,PT17H40M,441.12,1
Route-66,JFK,CDG,JFK → ZRH → CDG,UA → UA,2025-07-01T20:30:00,2025-07-02T14:05:00,PT11H35M,452.41,1
Route-67,JFK,CDG,JFK → ZRH → CDG,UA → UA,2025-07-01T16:15:00,2025-07-02T14:05:00,PT15H50M,452.41,1
Route-68,JFK,CDG,JFK → MUC → CDG,UA → UA,2025-07-01T17:30:00,2025-07-02T11:20:00,PT11H50M,454.50,1
Route-69,JFK,CDG,JFK → CMN → CDG,AT → AT,2025-07-01T11:50:00,2025-07-02T07:45:00,PT13H55M,458.28,1
Route-70,JFK,CDG,JFK → CMN → CDG,AT → AT,2025-07-01T20:45:00,2025-07-02T17:20:00,PT14H35M,458.28,1
Route-71,JFK,CDG,JFK → CMN → CDG,AT → AT,2025-07-01T11:50:00,2025-07-02T11:55:00,PT18H5M,458.28,1
Route-72,JFK,CDG,JFK → CMN → CDG,AT → AT,2025-07-01T20:45:00,2025-07-03T06:45:00,PT28H,458.28,1
Route-73,JFK,CDG,JFK → CDG,6X,2025-07-01T17:00:00,2025-07-02T06:00:00,PT8H,460.84,0
Route-74,JFK,CDG,JFK → FRA → CDG,UA → UA,2025-07-01T15:45:00,2025-07-02T08:55:00,PT11H10M,474.33,1
Route-75,JFK,CDG,JFK → FRA → CDG,UA → UA,2025-07-01T15:45:00,2025-07-02T09:55:00,PT12H10M,474.33,1
Route-76,JFK,CDG,JFK → FRA → CDG,UA → UA,2025-07-01T21:50:00,2025-07-02T17:50:00,PT14H,474.33,1
Route-77,JFK,CDG,JFK → BCN → CDG,IB → IB,2025-07-01T23:25:00,2025-07-02T20:15:00,PT14H50M,516.89,1
Route-78,JFK,CDG,JFK → LHR → CDG,6X → 6X,2025-07-01T18:00:00,2025-07-02T10:30:00,PT11H30M,527.93,1
Route-79,JFK,CDG,JFK → LHR → CDG,6X → 6X,2025-07-01T18:00:00,2025-07-02T11:00:00,PT12H,527.93,1
Route-80,JFK,CDG,JFK → CDG,IB,2025-07-01T17:30:00,2025-07-02T06:55:00,PT7H25M,534.93,0
Route-81,JFK,CDG,JFK → BOG → CDG,AV → AV,2025-07-01T07:30:00,2025-07-02T06:45:00,PT17H15M,580.77,1
Route-82,JFK,CDG,JFK → BOG → CDG,AV → AV,2025-07-01T00:30:00,2025-07-02T06:45:00,PT24H15M,580.77,1
Route-83,JFK,CDG,JFK → ZRH → CDG,LX → LX,2025-07-01T16:15:00,2025-07-02T08:55:00,PT10H40M,663.97,1
Route-84,JFK,CDG,JFK → ZRH → CDG,LX → LX,2025-07-01T20:30:00,2025-07-02T14:05:00,PT11H35M,663.97,1
Route-85,JFK,CDG,JFK → ZRH → CDG,LX → LX,2025-07-01T16:15:00,2025-07-02T14:05:00,PT15H50M,663.97,1
Route-86,JFK,CDG,JFK → ZRH → CDG,LX → LX,2025-07-01T20:30:00,2025-07-02T18:50:00,PT16H20M,663.97,1
Route-87,JFK,CDG,JFK → MUC → CDG,LH → LH,2025-07-01T16:30:00,2025-07-02T11:20:00,PT12H50M,666.06,1
Route-88,JFK,CDG,JFK → MUC → CDG,LH → LH,2025-07-01T16:30:00,2025-07-02T11:30:00,PT13H,666.06,1
Route-89,JFK,CDG,JFK → BRU → CDG,SN → SN,2025-07-01T18:10:00,2025-07-03T07:30:00,PT31H20M,682.14,1
Route-90,JFK,CDG,JFK → FRA → CDG,LH → LH,2025-07-01T18:00:00,2025-07-02T08:55:00,PT8H55M,685.89,1
Route-91,JFK,CDG,JFK → FRA → CDG,LH → LH,2025-07-01T18:00:00,2025-07-02T09:55:00,PT9H55M,685.89,1
Route-92,JFK,CDG,JFK → FRA → CDG,LH → LH,2025-07-01T21:50:00,2025-07-02T14:15:00,PT10H25M,685.89,1
Route-93,JFK,CDG,JFK → FRA → CDG,LH → LH,2025-07-01T15:45:00,2025-07-02T08:55:00,PT11H10M,685.89,1
Route-94,JFK,CDG,JFK → FRA → CDG,LH → LH,2025-07-01T15:45:00,2025-07-02T09:55:00,PT12H10M,685.89,1
Route-95,JFK,CDG,JFK → FRA → CDG,LH → LH,2025-07-01T21:50:00,2025-07-02T17:50:00,PT14H,685.89,1
Route-96,JFK,CDG,JFK → GVA → CDG,LX → LX,2025-07-01T19:25:00,2025-07-02T11:45:00,PT10H20M,762.47,1
Route-97,JFK,CDG,JFK → GVA → CDG,LX → LX,2025-07-01T19:25:00,2025-07-02T13:15:00,PT11H50M,762.47,1
Route-98,JFK,CDG,JFK → BEG → CDG,JU → JU,2025-07-01T13:50:00,2025-07-02T09:15:00,PT13H25M,778.20,1
Route-99,JFK,CDG,JFK → BEG → CDG,JU → JU,2025-07-01T13:50:00,2025-07-02T19:45:00,PT23H55M,778.20,1
Route-100,JFK,CDG,JFK → DUB → CDG,EI → EI,2025-07-01T16:55:00,2025-07-02T09:30:00,PT10H35M,840.85,1
Route-101,JFK,AMS,JFK → KEF → AMS,FI → FI,2025-07-01T23:10:00,2025-07-02T15:45:00,PT10H35M,440.47,1
Route-102,JFK,AMS,JFK → KEF → AMS,FI → FI,2025-07-01T23:10:00,2025-07-03T13:00:00,PT31H50M,441.88,1
Route-103,JFK,AMS,JFK → LIS → AMS,TP → TP,2025-07-01T22:05:00,2025-07-02T16:35:00,PT12H30M,472.85,1
Route-104,JFK,AMS,JFK → LIS → AMS,TP → TP,2025-07-01T22:05:00,2025-07-02T18:40:00,PT14H35M,472.85,1
Route-105,JFK,AMS,JFK → MAD → AMS,UX → UX,2025-07-01T00:40:00,2025-07-01T17:35:00,PT10H55M,476.17,1
Route-106,JFK,AMS,JFK → MAD → AMS,UX → UX,2025-07-01T22:05:00,2025-07-02T17:35:00,PT13H30M,476.17,1
Route-107,JFK,AMS,JFK → KEF → AMS,FI → FI,2025-07-01T20:25:00,2025-07-02T13:00:00,PT10H35M,477.47,1
Route-108,JFK,AMS,JFK → KEF → AMS,FI → FI,2025-07-01T20:25:00,2025-07-02T15:45:00,PT13H20M,477.47,1
Route-109,JFK,AMS,JFK → BCN → AMS,IB → IB,2025-07-01T23:25:00,2025-07-02T18:45:00,PT13H20M,508.89,1
Route-110,JFK,AMS,JFK → BCN → AMS,IB → IB,2025-07-01T23:25:00,2025-07-02T22:05:00,PT16H40M,508.89,1
Route-111,JFK,AMS,JFK → PDL → LIS → AMS,S4 → S4 → S4,2025-07-01T20:55:00,2025-07-02T18:40:00,PT15H45M,509.65,2
Route-112,JFK,AMS,JFK → PDL → LIS → AMS,S4 → S4 → S4,2025-07-01T20:55:00,2025-07-02T18:40:00,PT15H45M,535.65,2
Route-113,JFK,AMS,JFK → MAD → AMS,UX → UX,2025-07-01T00:40:00,2025-07-01T23:00:00,PT16H20M,700.17,1
Route-114,JFK,AMS,JFK → CMN → AMS,AT → AT,2025-07-01T20:45:00,2025-07-02T17:00:00,PT14H15M,728.28,1
Route-115,JFK,AMS,JFK → CMN → AMS,AT → AT,2025-07-01T11:50:00,2025-07-02T17:00:00,PT23H10M,728.28,1
Route-116,JFK,AMS,JFK → IST → AMS,TK → TK,2025-07-01T19:50:00,2025-07-02T16:50:00,PT15H,776.08,1
Route-117,JFK,AMS,JFK → YUL → AMS,AC → AC,2025-07-01T09:00:00,2025-07-02T10:20:00,PT19H20M,835.36,1
Route-118,JFK,AMS,JFK → YYZ → AMS,UA → UA,2025-07-01T15:55:00,2025-07-02T11:00:00,PT13H5M,841.12,1
Route-119,JFK,AMS,JFK → YYZ → AMS,AC → AC,2025-07-01T15:55:00,2025-07-02T11:00:00,PT13H5M,841.12,1
Route-120,JFK,AMS,JFK → YYZ → AMS,AC → AC,2025-07-01T10:30:00,2025-07-02T11:00:00,PT18H30M,841.12,1
Route-121,JFK,AMS,JFK → YYZ → AMS,UA → UA,2025-07-01T10:30:00,2025-07-02T11:00:00,PT18H30M,841.12,1
Route-122,JFK,AMS,JFK → FCO → AMS,AZ → AZ,2025-07-01T16:05:00,2025-07-02T11:00:00,PT12H55M,849.20,1
Route-123,JFK,AMS,JFK → FCO → AMS,AZ → AZ,2025-07-01T21:10:00,2025-07-02T17:05:00,PT13H55M,849.20,1
Route-124,JFK,AMS,JFK → FCO → AMS,AZ → AZ,2025-07-01T17:40:00,2025-07-02T17:05:00,PT17H25M,849.20,1
Route-125,JFK,AMS,JFK → FCO → AMS,AZ → AZ,2025-07-01T21:10:00,2025-07-03T11:00:00,PT31H50M,849.20,1
Route-126,JFK,AMS,JFK → ZRH → AMS,UA → UA,2025-07-01T16:15:00,2025-07-02T09:00:00,PT10H45M,852.41,1
Route-127,JFK,AMS,JFK → BEG → AMS,JU → JU,2025-07-01T13:50:00,2025-07-02T19:40:00,PT23H50M,857.20,1
Route-128,JFK,AMS,JFK → ZRH → AMS,LX → LX,2025-07-01T16:15:00,2025-07-02T09:00:00,PT10H45M,868.97,1
Route-129,JFK,AMS,JFK → ZRH → AMS,LX → LX,2025-07-01T20:30:00,2025-07-02T14:10:00,PT11H40M,868.97,1
Route-130,JFK,AMS,JFK → ZRH → AMS,LX → LX,2025-07-01T16:15:00,2025-07-02T14:10:00,PT15H55M,868.97,1
Route-131,JFK,AMS,JFK → ZRH → AMS,LX → LX,2025-07-01T20:30:00,2025-07-02T19:15:00,PT16H45M,868.97,1
Route-132,JFK,AMS,JFK → MUC → AMS,LH → LH,2025-07-01T16:30:00,2025-07-02T10:35:00,PT12H5M,871.06,1
Route-133,JFK,AMS,JFK → MUC → AMS,LH → LH,2025-07-01T16:30:00,2025-07-02T15:00:00,PT16H30M,871.06,1
Route-134,JFK,AMS,JFK → FRA → AMS,UA → UA,2025-07-01T21:50:00,2025-07-02T13:55:00,PT10H5M,874.33,1
Route-135,JFK,AMS,JFK → FRA → AMS,UA → UA,2025-07-01T15:45:00,2025-07-02T10:35:00,PT12H50M,874.33,1
Route-136,JFK,AMS,JFK → FRA → AMS,UA → UA,2025-07-01T21:50:00,2025-07-02T18:20:00,PT14H30M,874.33,1
Route-137,JFK,AMS,JFK → FRA → AMS,UA → UA,2025-07-01T15:45:00,2025-07-02T13:55:00,PT16H10M,874.33,1
Route-138,JFK,AMS,JFK → IST → AMS,TK → TK,2025-07-01T19:50:00,2025-07-02T21:45:00,PT19H55M,876.08,1
Route-139,JFK,AMS,JFK → IST → AMS,TK → TK,2025-07-01T06:45:00,2025-07-02T13:15:00,PT24H30M,876.08,1
Route-140,JFK,AMS,JFK → FRA → AMS,LH → LH,2025-07-01T21:50:00,2025-07-02T13:55:00,PT10H5M,890.89,1
Route-141,JFK,AMS,JFK → FRA → AMS,LH → LH,2025-07-01T18:00:00,2025-07-02T10:35:00,PT10H35M,890.89,1
Route-142,JFK,AMS,JFK → FRA → AMS,LH → LH,2025-07-01T15:45:00,2025-07-02T10:35:00,PT12H50M,890.89,1
Route-143,JFK,AMS,JFK → FRA → AMS,LH → LH,2025-07-01T21:50:00,2025-07-02T17:35:00,PT13H45M,890.89,1
Route-144,JFK,AMS,JFK → FRA → AMS,LH → LH,2025-07-01T18:00:00,2025-07-02T13:55:00,PT13H55M,890.89,1
Route-145,JFK,AMS,JFK → HEL → AMS,IB → IB,2025-07-01T22:55:00,2025-07-02T17:35:00,PT12H40M,902.66,1
Route-146,JFK,AMS,JFK → HEL → AMS,IB → IB,2025-07-01T22:55:00,2025-07-03T09:45:00,PT28H50M,902.66,1
Route-147,JFK,AMS,JFK → DUB → AMS,EI → EI,2025-07-01T16:55:00,2025-07-02T08:55:00,PT10H,905.63,1
Route-148,JFK,AMS,JFK → DUB → AMS,EI → EI,2025-07-01T21:05:00,2025-07-02T16:20:00,PT13H15M,905.63,1
Route-149,JFK,AMS,JFK → AMS,VS,2025-07-01T19:20:00,2025-07-02T09:00:00,PT7H40M,926.44,0
Route-150,JFK,AMS,JFK → AMS,B6,2025-07-01T19:35:00,2025-07-02T09:20:00,PT7H45M,926.44,0
